Statistic_Label,Census_Year,Sex,Regular_Unpaid_Help,Age_Group,Present_Economic_Status,Unit,Value
Carers Aged 15 Years And Over,2011,Both sexes,All carers,All ages,All persons aged 15 years and over,Number,182884
Carers Aged 15 Years And Over,2011,Both sexes,All carers,All ages,Employer or own account worker,Number,18020
Carers Aged 15 Years And Over,2011,Both sexes,All carers,All ages,Employee,Number,70602
Carers Aged 15 Years And Over,2011,Both sexes,All carers,All ages,Assisting relative,Number,1018
Carers Aged 15 Years And Over,2011,Both sexes,All carers,All ages,Unemployed looking for first regular job,Number,1058
Carers Aged 15 Years And Over,2011,Both sexes,All carers,All ages,Unemployed having lost or given up previous job,Number,17370
Carers Aged 15 Years And Over,2011,Both sexes,All carers,All ages,Student or pupil,Number,7441
Carers Aged 15 Years And Over,2011,Both sexes,All carers,All ages,Looking after home/family,Number,36612
Carers Aged 15 Years And Over,2011,Both sexes,All carers,All ages,Retired,Number,21260
Carers Aged 15 Years And Over,2011,Both sexes,All carers,All ages,Unable to work due to permanent sickness or disability,Number,7945
Carers Aged 15 Years And Over,2011,Both sexes,All carers,All ages,Other economic status,Number,1558
Carers Aged 15 Years And Over,2011,Both sexes,All carers,15 - 24 years,All persons aged 15 years and over,Number,10005
Carers Aged 15 Years And Over,2011,Both sexes,All carers,15 - 24 years,Employer or own account worker,Number,107
Carers Aged 15 Years And Over,2011,Both sexes,All carers,15 - 24 years,Employee,Number,2200
Carers Aged 15 Years And Over,2011,Both sexes,All carers,15 - 24 years,Assisting relative,Number,43
Carers Aged 15 Years And Over,2011,Both sexes,All carers,15 - 24 years,Unemployed looking for first regular job,Number,495
Carers Aged 15 Years And Over,2011,Both sexes,All carers,15 - 24 years,Unemployed having lost or given up previous job,Number,1261
Carers Aged 15 Years And Over,2011,Both sexes,All carers,15 - 24 years,Student or pupil,Number,5233
Carers Aged 15 Years And Over,2011,Both sexes,All carers,15 - 24 years,Looking after home/family,Number,462
Carers Aged 15 Years And Over,2011,Both sexes,All carers,15 - 24 years,Retired,Number,8
Carers Aged 15 Years And Over,2011,Both sexes,All carers,15 - 24 years,Unable to work due to permanent sickness or disability,Number,112
Carers Aged 15 Years And Over,2011,Both sexes,All carers,15 - 24 years,Other economic status,Number,84
Carers Aged 15 Years And Over,2011,Both sexes,All carers,25 - 44 years,All persons aged 15 years and over,Number,60341
Carers Aged 15 Years And Over,2011,Both sexes,All carers,25 - 44 years,Employer or own account worker,Number,5676
Carers Aged 15 Years And Over,2011,Both sexes,All carers,25 - 44 years,Employee,Number,30064
Carers Aged 15 Years And Over,2011,Both sexes,All carers,25 - 44 years,Assisting relative,Number,315
Carers Aged 15 Years And Over,2011,Both sexes,All carers,25 - 44 years,Unemployed looking for first regular job,Number,421
Carers Aged 15 Years And Over,2011,Both sexes,All carers,25 - 44 years,Unemployed having lost or given up previous job,Number,7892
Carers Aged 15 Years And Over,2011,Both sexes,All carers,25 - 44 years,Student or pupil,Number,1554
Carers Aged 15 Years And Over,2011,Both sexes,All carers,25 - 44 years,Looking after home/family,Number,11810
Carers Aged 15 Years And Over,2011,Both sexes,All carers,25 - 44 years,Retired,Number,115
Carers Aged 15 Years And Over,2011,Both sexes,All carers,25 - 44 years,Unable to work due to permanent sickness or disability,Number,1891
Carers Aged 15 Years And Over,2011,Both sexes,All carers,25 - 44 years,Other economic status,Number,603
Carers Aged 15 Years And Over,2011,Both sexes,All carers,45 - 64 years,All persons aged 15 years and over,Number,87792
Carers Aged 15 Years And Over,2011,Both sexes,All carers,45 - 64 years,Employer or own account worker,Number,11134
Carers Aged 15 Years And Over,2011,Both sexes,All carers,45 - 64 years,Employee,Number,37495
Carers Aged 15 Years And Over,2011,Both sexes,All carers,45 - 64 years,Assisting relative,Number,570
Carers Aged 15 Years And Over,2011,Both sexes,All carers,45 - 64 years,Unemployed looking for first regular job,Number,142
Carers Aged 15 Years And Over,2011,Both sexes,All carers,45 - 64 years,Unemployed having lost or given up previous job,Number,8113
Carers Aged 15 Years And Over,2011,Both sexes,All carers,45 - 64 years,Student or pupil,Number,641
Carers Aged 15 Years And Over,2011,Both sexes,All carers,45 - 64 years,Looking after home/family,Number,18485
Carers Aged 15 Years And Over,2011,Both sexes,All carers,45 - 64 years,Retired,Number,5224
Carers Aged 15 Years And Over,2011,Both sexes,All carers,45 - 64 years,Unable to work due to permanent sickness or disability,Number,5247
Carers Aged 15 Years And Over,2011,Both sexes,All carers,45 - 64 years,Other economic status,Number,741
Carers Aged 15 Years And Over,2011,Both sexes,All carers,65 years and over,All persons aged 15 years and over,Number,24746
Carers Aged 15 Years And Over,2011,Both sexes,All carers,65 years and over,Employer or own account worker,Number,1103
Carers Aged 15 Years And Over,2011,Both sexes,All carers,65 years and over,Employee,Number,843
Carers Aged 15 Years And Over,2011,Both sexes,All carers,65 years and over,Assisting relative,Number,90
Carers Aged 15 Years And Over,2011,Both sexes,All carers,65 years and over,Unemployed looking for first regular job,Number,0
Carers Aged 15 Years And Over,2011,Both sexes,All carers,65 years and over,Unemployed having lost or given up previous job,Number,104
Carers Aged 15 Years And Over,2011,Both sexes,All carers,65 years and over,Student or pupil,Number,13
Carers Aged 15 Years And Over,2011,Both sexes,All carers,65 years and over,Looking after home/family,Number,5855
Carers Aged 15 Years And Over,2011,Both sexes,All carers,65 years and over,Retired,Number,15913
Carers Aged 15 Years And Over,2011,Both sexes,All carers,65 years and over,Unable to work due to permanent sickness or disability,Number,695
Carers Aged 15 Years And Over,2011,Both sexes,All carers,65 years and over,Other economic status,Number,130
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,All ages,All persons aged 15 years and over,Number,78469
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,All ages,Employer or own account worker,Number,9706
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,All ages,Employee,Number,38284
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,All ages,Assisting relative,Number,231
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,All ages,Unemployed looking for first regular job,Number,455
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,All ages,Unemployed having lost or given up previous job,Number,6722
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,All ages,Student or pupil,Number,4677
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,All ages,Looking after home/family,Number,8775
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,All ages,Retired,Number,6926
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,All ages,Unable to work due to permanent sickness or disability,Number,2400
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,All ages,Other economic status,Number,293
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,15 - 24 years,All persons aged 15 years and over,Number,5639
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,15 - 24 years,Employer or own account worker,Number,66
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,15 - 24 years,Employee,Number,1219
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,15 - 24 years,Assisting relative,Number,15
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,15 - 24 years,Unemployed looking for first regular job,Number,235
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,15 - 24 years,Unemployed having lost or given up previous job,Number,534
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,15 - 24 years,Student or pupil,Number,3427
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,15 - 24 years,Looking after home/family,Number,90
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,15 - 24 years,Retired,Number,2
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,15 - 24 years,Unable to work due to permanent sickness or disability,Number,36
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,15 - 24 years,Other economic status,Number,15
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,25 - 44 years,All persons aged 15 years and over,Number,27698
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,25 - 44 years,Employer or own account worker,Number,3172
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,25 - 44 years,Employee,Number,16685
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,25 - 44 years,Assisting relative,Number,73
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,25 - 44 years,Unemployed looking for first regular job,Number,158
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,25 - 44 years,Unemployed having lost or given up previous job,Number,3142
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,25 - 44 years,Student or pupil,Number,864
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,25 - 44 years,Looking after home/family,Number,2857
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,25 - 44 years,Retired,Number,42
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,25 - 44 years,Unable to work due to permanent sickness or disability,Number,581
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,25 - 44 years,Other economic status,Number,124
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,45 - 64 years,All persons aged 15 years and over,Number,38201
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,45 - 64 years,Employer or own account worker,Number,5987
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,45 - 64 years,Employee,Number,20008
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,45 - 64 years,Assisting relative,Number,120
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,45 - 64 years,Unemployed looking for first regular job,Number,62
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,45 - 64 years,Unemployed having lost or given up previous job,Number,3014
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,45 - 64 years,Student or pupil,Number,379
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,45 - 64 years,Looking after home/family,Number,4733
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,45 - 64 years,Retired,Number,2157
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,45 - 64 years,Unable to work due to permanent sickness or disability,Number,1625
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,45 - 64 years,Other economic status,Number,116
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,65 years and over,All persons aged 15 years and over,Number,6931
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,65 years and over,Employer or own account worker,Number,481
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,65 years and over,Employee,Number,372
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,65 years and over,Assisting relative,Number,23
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,65 years and over,Unemployed looking for first regular job,Number,0
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,65 years and over,Unemployed having lost or given up previous job,Number,32
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,65 years and over,Student or pupil,Number,7
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,65 years and over,Looking after home/family,Number,1095
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,65 years and over,Retired,Number,4725
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,65 years and over,Unable to work due to permanent sickness or disability,Number,158
Carers Aged 15 Years And Over,2011,Both sexes,1-14 hours unpaid help per week,65 years and over,Other economic status,Number,38
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,All ages,All persons aged 15 years and over,Number,28995
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,All ages,Employer or own account worker,Number,3012
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,All ages,Employee,Number,11284
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,All ages,Assisting relative,Number,173
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,All ages,Unemployed looking for first regular job,Number,174
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,All ages,Unemployed having lost or given up previous job,Number,3289
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,All ages,Student or pupil,Number,980
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,All ages,Looking after home/family,Number,5464
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,All ages,Retired,Number,3005
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,All ages,Unable to work due to permanent sickness or disability,Number,1421
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,All ages,Other economic status,Number,193
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,15 - 24 years,All persons aged 15 years and over,Number,1386
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,15 - 24 years,Employer or own account worker,Number,18
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,15 - 24 years,Employee,Number,336
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,15 - 24 years,Assisting relative,Number,6
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,15 - 24 years,Unemployed looking for first regular job,Number,79
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,15 - 24 years,Unemployed having lost or given up previous job,Number,213
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,15 - 24 years,Student or pupil,Number,632
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,15 - 24 years,Looking after home/family,Number,68
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,15 - 24 years,Retired,Number,3
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,15 - 24 years,Unable to work due to permanent sickness or disability,Number,16
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,15 - 24 years,Other economic status,Number,15
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,25 - 44 years,All persons aged 15 years and over,Number,9546
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,25 - 44 years,Employer or own account worker,Number,956
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,25 - 44 years,Employee,Number,4507
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,25 - 44 years,Assisting relative,Number,50
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,25 - 44 years,Unemployed looking for first regular job,Number,74
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,25 - 44 years,Unemployed having lost or given up previous job,Number,1462
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,25 - 44 years,Student or pupil,Number,240
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,25 - 44 years,Looking after home/family,Number,1799
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,25 - 44 years,Retired,Number,22
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,25 - 44 years,Unable to work due to permanent sickness or disability,Number,365
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,25 - 44 years,Other economic status,Number,71
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,45 - 64 years,All persons aged 15 years and over,Number,14801
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,45 - 64 years,Employer or own account worker,Number,1863
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,45 - 64 years,Employee,Number,6336
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,45 - 64 years,Assisting relative,Number,103
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,45 - 64 years,Unemployed looking for first regular job,Number,21
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,45 - 64 years,Unemployed having lost or given up previous job,Number,1599
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,45 - 64 years,Student or pupil,Number,107
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,45 - 64 years,Looking after home/family,Number,2867
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,45 - 64 years,Retired,Number,883
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,45 - 64 years,Unable to work due to permanent sickness or disability,Number,934
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,45 - 64 years,Other economic status,Number,88
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,65 years and over,All persons aged 15 years and over,Number,3262
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,65 years and over,Employer or own account worker,Number,175
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,65 years and over,Employee,Number,105
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,65 years and over,Assisting relative,Number,14
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,65 years and over,Unemployed looking for first regular job,Number,0
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,65 years and over,Unemployed having lost or given up previous job,Number,15
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,65 years and over,Student or pupil,Number,1
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,65 years and over,Looking after home/family,Number,730
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,65 years and over,Retired,Number,2097
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,65 years and over,Unable to work due to permanent sickness or disability,Number,106
Carers Aged 15 Years And Over,2011,Both sexes,15-28 hours unpaid help per week,65 years and over,Other economic status,Number,19
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,All ages,All persons aged 15 years and over,Number,14031
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,All ages,Employer or own account worker,Number,1233
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,All ages,Employee,Number,4969
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,All ages,Assisting relative,Number,146
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,All ages,Unemployed looking for first regular job,Number,83
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,All ages,Unemployed having lost or given up previous job,Number,1478
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,All ages,Student or pupil,Number,333
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,All ages,Looking after home/family,Number,3392
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,All ages,Retired,Number,1584
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,All ages,Unable to work due to permanent sickness or disability,Number,678
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,All ages,Other economic status,Number,135
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,15 - 24 years,All persons aged 15 years and over,Number,555
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,15 - 24 years,Employer or own account worker,Number,2
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,15 - 24 years,Employee,Number,142
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,15 - 24 years,Assisting relative,Number,9
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,15 - 24 years,Unemployed looking for first regular job,Number,30
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,15 - 24 years,Unemployed having lost or given up previous job,Number,103
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,15 - 24 years,Student or pupil,Number,200
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,15 - 24 years,Looking after home/family,Number,56
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,15 - 24 years,Retired,Number,1
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,15 - 24 years,Unable to work due to permanent sickness or disability,Number,2
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,15 - 24 years,Other economic status,Number,10
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,25 - 44 years,All persons aged 15 years and over,Number,4557
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,25 - 44 years,Employer or own account worker,Number,367
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,25 - 44 years,Employee,Number,2004
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,25 - 44 years,Assisting relative,Number,49
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,25 - 44 years,Unemployed looking for first regular job,Number,41
